,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
1,,C16,14120920,1412092,0.1,00:12.6,11484920,1148492,0.1,11:37.0,9789920,978992,0.1,23:01.2,14120920,0,0,0,11484920,0,0,0,9789920,0,0,0
1,,C17,14693400,1469340,0.1,00:12.8,12093680,1209368,0.1,11:37.1,10269040,1026904,0.1,23:01.4,14693400,0,0,0,12093680,0,0,0,10269040,0,0,0
1,,C18,14549480,1454948,0.1,00:13.0,11885640,1188564,0.1,11:37.3,10148720,1014872,0.1,23:01.6,14549480,0,0,0,11885640,0,0,0,10148720,0,0,0
1,,C19,14221720,1422172,0.1,00:13.2,11829560,1182956,0.1,11:37.5,9975000,997500,0.1,23:01.8,14221720,0,0,0,11829560,0,0,0,9975000,0,0,0
1,,C20,14227960,1422796,0.1,00:13.4,11863000,1186300,0.1,11:37.7,10015680,1001568,0.1,23:02.0,14227960,0,0,0,11863000,0,0,0,10015680,0,0,0
1,,C21,14666000,1466600,0.1,00:13.6,12034320,1203432,0.1,11:37.9,10178400,1017840,0.1,23:02.1,14666000,0,0,0,12034320,0,0,0,10178400,0,0,0
1,,C22,14079680,1407968,0.1,00:13.8,11767760,1176776,0.1,11:38.1,9993360,999336,0.1,23:02.3,14079680,0,0,0,11767760,0,0,0,9993360,0,0,0
1,,C23,51360,5136,0.1,00:14.0,33320,3332,0.1,11:38.3,30280,3028,0.1,23:02.5,51360,0,0,0,33320,0,0,0,30280,0,0,0
1,,C24,14109240,1410924,0.1,00:14.2,11777320,1177732,0.1,11:38.5,10113200,1011320,0.1,23:02.7,14109240,0,0,0,11777320,0,0,0,10113200,0,0,0
1,,D01,13802120,1380212,0.1,00:14.6,11194160,1119416,0.1,11:38.9,9611000,961100,0.1,23:03.2,13802120,0,0,0,11194160,0,0,0,9611000,0,0,0
1,,D02,50800,5080,0.1,00:14.8,33760,3376,0.1,11:39.1,28680,2868,0.1,23:03.4,50800,0,0,0,33760,0,0,0,28680,0,0,0
1,,D03,14447080,1444708,0.1,00:15.0,10586160,1058616,0.1,11:39.3,8544520,854452,0.1,23:03.5,14447080,0,0,0,10586160,0,0,0,8544520,0,0,0
1,,D04,15045880,1504588,0.1,00:15.2,12174360,1217436,0.1,11:39.5,10345440,1034544,0.1,23:03.7,15045880,0,0,0,12174360,0,0,0,10345440,0,0,0
1,,D05,14951440,1495144,0.1,00:15.4,12032400,1203240,0.1,11:39.7,10169800,1016980,0.1,23:03.9,14951440,0,0,0,12032400,0,0,0,10169800,0,0,0
1,,D06,15004200,1500420,0.1,00:15.6,12019720,1201972,0.1,11:39.9,10186760,1018676,0.1,23:04.1,15004200,0,0,0,12019720,0,0,0,10186760,0,0,0
1,,D07,14845680,1484568,0.1,00:15.8,11957000,1195700,0.1,11:40.1,10094440,1009444,0.1,23:04.3,14845680,0,0,0,11957000,0,0,0,10094440,0,0,0
1,,D08,14789480,1478948,0.1,00:15.9,11957800,1195780,0.1,11:40.3,10185440,1018544,0.1,23:04.5,14789480,0,0,0,11957800,0,0,0,10185440,0,0,0
1,,D09,15193880,1519388,0.1,00:16.1,12297480,1229748,0.1,11:40.5,10451640,1045164,0.1,23:04.7,15193880,0,0,0,12297480,0,0,0,10451640,0,0,0
1,,D10,14910440,1491044,0.1,00:16.3,12206920,1220692,0.1,11:40.7,10399320,1039932,0.1,23:04.9,14910440,0,0,0,12206920,0,0,0,10399320,0,0,0
1,,D11,14722200,1472220,0.1,00:16.5,11885440,1188544,0.1,11:40.9,10063920,1006392,0.1,23:05.1,14722200,0,0,0,11885440,0,0,0,10063920,0,0,0
1,,D12,14317920,1431792,0.1,00:16.7,11629360,1162936,0.1,11:41.0,9929800,992980,0.1,23:05.3,14317920,0,0,0,11629360,0,0,0,9929800,0,0,0
1,,D13,13655080,1365508,0.1,00:16.9,11338560,1133856,0.1,11:41.2,9743440,974344,0.1,23:05.5,13655080,0,0,0,11338560,0,0,0,9743440,0,0,0
1,,D14,14107720,1410772,0.1,00:17.1,11209200,1120920,0.1,11:41.4,9437840,943784,0.1,23:05.7,14107720,0,0,0,11209200,0,0,0,9437840,0,0,0
1,,D15,14520920,1452092,0.1,00:17.3,11843280,1184328,0.1,11:41.6,10071760,1007176,0.1,23:05.9,14520920,0,0,0,11843280,0,0,0,10071760,0,0,0
1,,D16,12809160,1280916,0.1,00:17.5,10459240,1045924,0.1,11:41.8,8923000,892300,0.1,23:06.0,12809160,0,0,0,10459240,0,0,0,8923000,0,0,0
1,,D17,14217360,1421736,0.1,00:17.7,11569080,1156908,0.1,11:42.0,9736440,973644,0.1,23:06.2,14217360,0,0,0,11569080,0,0,0,9736440,0,0,0
1,,D18,14484240,1448424,0.1,00:17.9,12011840,1201184,0.1,11:42.2,10175880,1017588,0.1,23:06.4,14484240,0,0,0,12011840,0,0,0,10175880,0,0,0
1,,D19,14391080,1439108,0.1,00:18.1,11905000,1190500,0.1,11:42.4,10081000,1008100,0.1,23:06.6,14391080,0,0,0,11905000,0,0,0,10081000,0,0,0
1,,D20,14378280,1437828,0.1,00:18.3,11836880,1183688,0.1,11:42.6,9998640,999864,0.1,23:06.8,14378280,0,0,0,11836880,0,0,0,9998640,0,0,0
1,,D21,14377800,1437780,0.1,00:18.4,11970360,1197036,0.1,11:42.8,10186720,1018672,0.1,23:07.0,14377800,0,0,0,11970360,0,0,0,10186720,0,0,0
1,,D22,14202400,1420240,0.1,00:18.6,11829040,1182904,0.1,11:43.0,10021680,1002168,0.1,23:07.2,14202400,0,0,0,11829040,0,0,0,10021680,0,0,0
1,,D23,49280,4928,0.1,00:18.8,33280,3328,0.1,11:43.2,29480,2948,0.1,23:07.4,49280,0,0,0,33280,0,0,0,29480,0,0,0
1,,D24,14348640,1434864,0.1,00:19.0,11967840,1196784,0.1,11:43.4,10249960,1024996,0.1,23:07.6,14348640,0,0,0,11967840,0,0,0,10249960,0,0,0
1,,E01,14544840,1454484,0.1,00:19.5,11992240,1199224,0.1,11:43.8,10192560,1019256,0.1,23:08.0,14544840,0,0,0,11992240,0,0,0,10192560,0,0,0
1,,E02,55720,5572,0.1,00:19.7,37440,3744,0.1,11:44.0,33760,3376,0.1,23:08.2,55720,0,0,0,37440,0,0,0,33760,0,0,0
1,,E03,14326600,1432660,0.1,00:19.9,11763520,1176352,0.1,11:44.2,10007280,1000728,0.1,23:08.4,14326600,0,0,0,11763520,0,0,0,10007280,0,0,0
1,,E04,14379680,1437968,0.1,00:20.0,11666280,1166628,0.1,11:44.4,9794160,979416,0.1,23:08.6,14379680,0,0,0,11666280,0,0,0,9794160,0,0,0
1,,E05,14252200,1425220,0.1,00:20.2,11956080,1195608,0.1,11:44.6,10097680,1009768,0.1,23:08.8,14252200,0,0,0,11956080,0,0,0,10097680,0,0,0
1,,E06,14481920,1448192,0.1,00:20.4,11995960,1199596,0.1,11:44.8,10156480,1015648,0.1,23:09.0,14481920,0,0,0,11995960,0,0,0,10156480,0,0,0
1,,E07,13599440,1359944,0.1,00:20.6,11399800,1139980,0.1,11:45.0,9757880,975788,0.1,23:09.2,13599440,0,0,0,11399800,0,0,0,9757880,0,0,0
1,,E08,14579520,1457952,0.1,00:20.8,11962560,1196256,0.1,11:45.1,10202160,1020216,0.1,23:09.4,14579520,0,0,0,11962560,0,0,0,10202160,0,0,0
1,,E09,14893200,1489320,0.1,00:21.0,12186520,1218652,0.1,11:45.3,10362520,1036252,0.1,23:09.6,14893200,0,0,0,12186520,0,0,0,10362520,0,0,0
1,,E10,14534640,1453464,0.1,00:21.2,12084440,1208444,0.1,11:45.5,10319560,1031956,0.1,23:09.8,14534640,0,0,0,12084440,0,0,0,10319560,0,0,0
1,,E11,14025080,1402508,0.1,00:21.4,11649520,1164952,0.1,11:45.7,9924080,992408,0.1,23:10.0,14025080,0,0,0,11649520,0,0,0,9924080,0,0,0
1,,E12,13074040,1307404,0.1,00:21.6,10745080,1074508,0.1,11:45.9,9078520,907852,0.1,23:10.1,13074040,0,0,0,10745080,0,0,0,9078520,0,0,0
1,,E13,13949680,1394968,0.1,00:21.8,11446320,1144632,0.1,11:46.1,9625320,962532,0.1,23:10.3,13949680,0,0,0,11446320,0,0,0,9625320,0,0,0
1,,E14,14121720,1412172,0.1,00:22.0,11860520,1186052,0.1,11:46.3,10132960,1013296,0.1,23:10.5,14121720,0,0,0,11860520,0,0,0,10132960,0,0,0
1,,E15,14376080,1437608,0.1,00:22.2,12027120,1202712,0.1,11:46.5,10276160,1027616,0.1,23:10.7,14376080,0,0,0,12027120,0,0,0,10276160,0,0,0
