,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
1,,C02,2120,212,0.1,00:09.9,2000,200,0.1,06:07.0,1880,188,0.1,12:04.2,2120,0,0,0,2000,0,0,0,1880,0,0,0
1,,C03,381240,38124,0.1,00:10.1,335960,33596,0.1,06:07.2,310440,31044,0.1,12:04.4,381240,0,0,0,335960,0,0,0,310440,0,0,0
1,,C04,430680,43068,0.1,00:10.3,373720,37372,0.1,06:07.4,352840,35284,0.1,12:04.6,430680,0,0,0,373720,0,0,0,352840,0,0,0
1,,C05,426720,42672,0.1,00:10.5,372920,37292,0.1,06:07.6,350400,35040,0.1,12:04.8,426720,0,0,0,372920,0,0,0,350400,0,0,0
1,,C06,432360,43236,0.1,00:10.7,377720,37772,0.1,06:07.8,351360,35136,0.1,12:05.0,432360,0,0,0,377720,0,0,0,351360,0,0,0
1,,C07,430400,43040,0.1,00:10.9,375480,37548,0.1,06:08.0,353360,35336,0.1,12:05.2,430400,0,0,0,375480,0,0,0,353360,0,0,0
1,,C08,431800,43180,0.1,00:11.1,376960,37696,0.1,06:08.2,353320,35332,0.1,12:05.3,431800,0,0,0,376960,0,0,0,353320,0,0,0
1,,C09,434320,43432,0.1,00:11.3,384560,38456,0.1,06:08.4,362920,36292,0.1,12:05.5,434320,0,0,0,384560,0,0,0,362920,0,0,0
1,,C10,435320,43532,0.1,00:11.5,384160,38416,0.1,06:08.6,361920,36192,0.1,12:05.7,435320,0,0,0,384160,0,0,0,361920,0,0,0
1,,C11,432520,43252,0.1,00:11.6,381400,38140,0.1,06:08.8,359480,35948,0.1,12:05.9,432520,0,0,0,381400,0,0,0,359480,0,0,0
1,,C12,438760,43876,0.1,00:11.8,385280,38528,0.1,06:09.0,361600,36160,0.1,12:06.1,438760,0,0,0,385280,0,0,0,361600,0,0,0
1,,C13,438680,43868,0.1,00:12.0,383720,38372,0.1,06:09.2,359280,35928,0.1,12:06.3,438680,0,0,0,383720,0,0,0,359280,0,0,0
1,,C14,433920,43392,0.1,00:12.2,382560,38256,0.1,06:09.4,354840,35484,0.1,12:06.5,433920,0,0,0,382560,0,0,0,354840,0,0,0
1,,C15,436920,43692,0.1,00:12.4,382200,38220,0.1,06:09.5,357240,35724,0.1,12:06.7,436920,0,0,0,382200,0,0,0,357240,0,0,0
1,,C16,430440,43044,0.1,00:12.6,381400,38140,0.1,06:09.7,354120,35412,0.1,12:06.9,430440,0,0,0,381400,0,0,0,354120,0,0,0
1,,C17,433600,43360,0.1,00:12.8,380760,38076,0.1,06:09.9,356520,35652,0.1,12:07.1,433600,0,0,0,380760,0,0,0,356520,0,0,0
1,,C18,420120,42012,0.1,00:13.0,373120,37312,0.1,06:10.1,348880,34888,0.1,12:07.3,420120,0,0,0,373120,0,0,0,348880,0,0,0
1,,C19,428800,42880,0.1,00:13.2,372840,37284,0.1,06:10.3,349680,34968,0.1,12:07.5,428800,0,0,0,372840,0,0,0,349680,0,0,0
1,,C20,423120,42312,0.1,00:13.4,373680,37368,0.1,06:10.5,347960,34796,0.1,12:07.6,423120,0,0,0,373680,0,0,0,347960,0,0,0
1,,C21,426360,42636,0.1,00:13.6,377080,37708,0.1,06:10.7,353640,35364,0.1,12:07.8,426360,0,0,0,377080,0,0,0,353640,0,0,0
1,,C22,415000,41500,0.1,00:13.8,370840,37084,0.1,06:10.9,350160,35016,0.1,12:08.0,415000,0,0,0,370840,0,0,0,350160,0,0,0
1,,C23,317480,31748,0.1,00:14.0,287000,28700,0.1,06:11.1,268160,26816,0.1,12:08.2,317480,0,0,0,287000,0,0,0,268160,0,0,0
1,,C24,413040,41304,0.1,00:14.1,372760,37276,0.1,06:11.3,349640,34964,0.1,12:08.4,413040,0,0,0,372760,0,0,0,349640,0,0,0
1,,D01,413160,41316,0.1,00:14.6,365280,36528,0.1,06:11.7,343440,34344,0.1,12:08.9,413160,0,0,0,365280,0,0,0,343440,0,0,0
1,,D02,1800,180,0.1,00:14.8,1840,184,0.1,06:11.9,1680,168,0.1,12:09.0,1800,0,0,0,1840,0,0,0,1680,0,0,0
1,,D03,414600,41460,0.1,00:15.0,365480,36548,0.1,06:12.1,340520,34052,0.1,12:09.3,414600,0,0,0,365480,0,0,0,340520,0,0,0
1,,D04,414520,41452,0.1,00:15.2,369880,36988,0.1,06:12.3,343680,34368,0.1,12:09.4,414520,0,0,0,369880,0,0,0,343680,0,0,0
1,,D05,417880,41788,0.1,00:15.4,370760,37076,0.1,06:12.5,345400,34540,0.1,12:09.6,417880,0,0,0,370760,0,0,0,345400,0,0,0
1,,D06,417640,41764,0.1,00:15.5,368880,36888,0.1,06:12.7,345040,34504,0.1,12:09.8,417640,0,0,0,368880,0,0,0,345040,0,0,0
1,,D07,420320,42032,0.1,00:15.7,371280,37128,0.1,06:12.9,345600,34560,0.1,12:10.0,420320,0,0,0,371280,0,0,0,345600,0,0,0
1,,D08,422440,42244,0.1,00:15.9,373520,37352,0.1,06:13.1,346520,34652,0.1,12:10.2,422440,0,0,0,373520,0,0,0,346520,0,0,0
1,,D09,421120,42112,0.1,00:16.1,372440,37244,0.1,06:13.3,349600,34960,0.1,12:10.4,421120,0,0,0,372440,0,0,0,349600,0,0,0
1,,D10,6960,696,0.1,00:16.3,6400,640,0.1,06:13.5,5880,588,0.1,12:10.6,6960,0,0,0,6400,0,0,0,5880,0,0,0
1,,D11,410480,41048,0.1,00:16.5,365880,36588,0.1,06:13.6,340600,34060,0.1,12:10.8,410480,0,0,0,365880,0,0,0,340600,0,0,0
1,,D12,424080,42408,0.1,00:16.7,372040,37204,0.1,06:13.8,349040,34904,0.1,12:11.0,424080,0,0,0,372040,0,0,0,349040,0,0,0
1,,D13,428960,42896,0.1,00:16.9,372440,37244,0.1,06:14.0,353040,35304,0.1,12:11.2,428960,0,0,0,372440,0,0,0,353040,0,0,0
1,,D14,424000,42400,0.1,00:17.1,373920,37392,0.1,06:14.2,347560,34756,0.1,12:11.4,424000,0,0,0,373920,0,0,0,347560,0,0,0
1,,D15,429360,42936,0.1,00:17.3,382800,38280,0.1,06:14.4,354240,35424,0.1,12:11.5,429360,0,0,0,382800,0,0,0,354240,0,0,0
1,,D16,429680,42968,0.1,00:17.5,379560,37956,0.1,06:14.6,353280,35328,0.1,12:11.8,429680,0,0,0,379560,0,0,0,353280,0,0,0
1,,D17,421800,42180,0.1,00:17.7,370080,37008,0.1,06:14.8,344640,34464,0.1,12:11.9,421800,0,0,0,370080,0,0,0,344640,0,0,0
1,,D18,426560,42656,0.1,00:17.8,375640,37564,0.1,06:15.0,348840,34884,0.1,12:12.1,426560,0,0,0,375640,0,0,0,348840,0,0,0
1,,D19,426800,42680,0.1,00:18.0,374560,37456,0.1,06:15.2,352360,35236,0.1,12:12.3,426800,0,0,0,374560,0,0,0,352360,0,0,0
1,,D20,418880,41888,0.1,00:18.2,372280,37228,0.1,06:15.4,347360,34736,0.1,12:12.5,418880,0,0,0,372280,0,0,0,347360,0,0,0
1,,D21,420000,42000,0.1,00:18.4,376440,37644,0.1,06:15.6,349520,34952,0.1,12:12.7,420000,0,0,0,376440,0,0,0,349520,0,0,0
1,,D22,412880,41288,0.1,00:18.6,369960,36996,0.1,06:15.8,348920,34892,0.1,12:12.9,412880,0,0,0,369960,0,0,0,348920,0,0,0
1,,D23,317320,31732,0.1,00:18.8,285320,28532,0.1,06:16.0,267640,26764,0.1,12:13.1,317320,0,0,0,285320,0,0,0,267640,0,0,0
1,,D24,415520,41552,0.1,00:19.0,364360,36436,0.1,06:16.1,353880,35388,0.1,12:13.3,415520,0,0,0,364360,0,0,0,353880,0,0,0
1,,E01,435400,43540,0.1,00:19.5,385920,38592,0.1,06:16.6,364480,36448,0.1,12:13.7,435400,0,0,0,385920,0,0,0,364480,0,0,0
1,,E02,1800,180,0.1,00:19.6,1440,144,0.1,06:16.8,1440,144,0.1,12:13.9,1800,0,0,0,1440,0,0,0,1440,0,0,0
1,,E03,428960,42896,0.1,00:19.8,382720,38272,0.1,06:17.0,359680,35968,0.1,12:14.1,428960,0,0,0,382720,0,0,0,359680,0,0,0
1,,E04,437080,43708,0.1,00:20.0,385840,38584,0.1,06:17.2,361480,36148,0.1,12:14.3,437080,0,0,0,385840,0,0,0,361480,0,0,0
1,,E05,431960,43196,0.1,00:20.2,385880,38588,0.1,06:17.4,358520,35852,0.1,12:14.5,431960,0,0,0,385880,0,0,0,358520,0,0,0
1,,E06,443240,44324,0.1,00:20.4,388200,38820,0.1,06:17.5,362640,36264,0.1,12:14.7,443240,0,0,0,388200,0,0,0,362640,0,0,0
1,,E07,293400,29340,0.1,00:20.6,256880,25688,0.1,06:17.7,243080,24308,0.1,12:14.9,293400,0,0,0,256880,0,0,0,243080,0,0,0
1,,E08,446680,44668,0.1,00:20.8,388080,38808,0.1,06:17.9,362280,36228,0.1,12:15.1,446680,0,0,0,388080,0,0,0,362280,0,0,0
1,,E09,446000,44600,0.1,00:21.0,392920,39292,0.1,06:18.1,368040,36804,0.1,12:15.3,446000,0,0,0,392920,0,0,0,368040,0,0,0
1,,E10,444720,44472,0.1,00:21.2,396920,39692,0.1,06:18.3,369720,36972,0.1,12:15.5,444720,0,0,0,396920,0,0,0,369720,0,0,0
1,,E11,447360,44736,0.1,00:21.4,397120,39712,0.1,06:18.5,368680,36868,0.1,12:15.6,447360,0,0,0,397120,0,0,0,368680,0,0,0
1,,E12,442360,44236,0.1,00:21.6,392800,39280,0.1,06:18.7,363520,36352,0.1,12:15.8,442360,0,0,0,392800,0,0,0,363520,0,0,0
1,,E13,455400,45540,0.1,00:21.8,395440,39544,0.1,06:18.9,368040,36804,0.1,12:16.0,455400,0,0,0,395440,0,0,0,368040,0,0,0
1,,E14,452560,45256,0.1,00:22.0,392280,39228,0.1,06:19.1,366120,36612,0.1,12:16.2,452560,0,0,0,392280,0,0,0,366120,0,0,0
1,,E15,452000,45200,0.1,00:22.1,393320,39332,0.1,06:19.3,366760,36676,0.1,12:16.4,452000,0,0,0,393320,0,0,0,366760,0,0,0
1,,E16,443080,44308,0.1,00:22.3,387560,38756,0.1,06:19.5,362320,36232,0.1,12:16.6,443080,0,0,0,387560,0,0,0,362320,0,0,0
1,,E17,447240,44724,0.1,00:22.5,390080,39008,0.1,06:19.7,360920,36092,0.1,12:16.8,447240,0,0,0,390080,0,0,0,360920,0,0,0
1,,E18,444680,44468,0.1,00:22.7,382840,38284,0.1,06:19.8,362160,36216,0.1,12:17.0,444680,0,0,0,382840,0,0,0,362160,0,0,0
