,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
2,,C22,239520,23952,0.1,00:13.8,232600,23260,0.1,11:38.8,216600,21660,0.1,23:03.4,239520,0,0,0,232600,0,0,0,216600,0,0,0
2,,C23,440,44,0.1,00:13.9,440,44,0.1,11:39.0,520,52,0.1,23:03.6,440,0,0,0,440,0,0,0,520,0,0,0
2,,C24,235520,23552,0.1,00:14.1,226000,22600,0.1,11:39.2,213760,21376,0.1,23:03.8,235520,0,0,0,226000,0,0,0,213760,0,0,0
2,,D01,249440,24944,0.1,00:14.6,235760,23576,0.1,11:39.6,216680,21668,0.1,23:04.2,249440,0,0,0,235760,0,0,0,216680,0,0,0
2,,D02,440,44,0.1,00:14.8,280,28,0.1,11:39.8,520,52,0.1,23:04.5,440,0,0,0,280,0,0,0,520,0,0,0
2,,D03,246320,24632,0.1,00:15.0,231280,23128,0.1,11:40.0,207080,20708,0.1,23:04.6,246320,0,0,0,231280,0,0,0,207080,0,0,0
2,,D04,246600,24660,0.1,00:15.2,242560,24256,0.1,11:40.2,222200,22220,0.1,23:04.8,246600,0,0,0,242560,0,0,0,222200,0,0,0
2,,D05,245240,24524,0.1,00:15.3,240760,24076,0.1,11:40.4,219480,21948,0.1,23:05.0,245240,0,0,0,240760,0,0,0,219480,0,0,0
2,,D06,252280,25228,0.1,00:15.5,243840,24384,0.1,11:40.6,222080,22208,0.1,23:05.2,252280,0,0,0,243840,0,0,0,222080,0,0,0
2,,D07,250000,25000,0.1,00:15.7,244400,24440,0.1,11:40.8,223000,22300,0.1,23:05.4,250000,0,0,0,244400,0,0,0,223000,0,0,0
2,,D08,248560,24856,0.1,00:15.9,249560,24956,0.1,11:41.0,226160,22616,0.1,23:05.6,248560,0,0,0,249560,0,0,0,226160,0,0,0
2,,D09,253720,25372,0.1,00:16.1,247720,24772,0.1,11:41.2,225120,22512,0.1,23:05.8,253720,0,0,0,247720,0,0,0,225120,0,0,0
2,,D10,251120,25112,0.1,00:16.3,247800,24780,0.1,11:41.4,226080,22608,0.1,23:06.0,251120,0,0,0,247800,0,0,0,226080,0,0,0
2,,D11,247880,24788,0.1,00:16.5,247400,24740,0.1,11:41.5,225720,22572,0.1,23:06.2,247880,0,0,0,247400,0,0,0,225720,0,0,0
2,,D12,247360,24736,0.1,00:16.7,248080,24808,0.1,11:41.7,225960,22596,0.1,23:06.4,247360,0,0,0,248080,0,0,0,225960,0,0,0
2,,D13,253280,25328,0.1,00:16.9,249120,24912,0.1,11:41.9,227560,22756,0.1,23:06.6,253280,0,0,0,249120,0,0,0,227560,0,0,0
2,,D14,253280,25328,0.1,00:17.1,245720,24572,0.1,11:42.1,225440,22544,0.1,23:06.7,253280,0,0,0,245720,0,0,0,225440,0,0,0
2,,D15,257000,25700,0.1,00:17.3,246680,24668,0.1,11:42.3,223640,22364,0.1,23:06.9,257000,0,0,0,246680,0,0,0,223640,0,0,0
2,,D16,248960,24896,0.1,00:17.5,245000,24500,0.1,11:42.5,223360,22336,0.1,23:07.1,248960,0,0,0,245000,0,0,0,223360,0,0,0
2,,D17,250240,25024,0.1,00:17.7,234920,23492,0.1,11:42.7,215320,21532,0.1,23:07.3,250240,0,0,0,234920,0,0,0,215320,0,0,0
2,,D18,251960,25196,0.1,00:17.8,242960,24296,0.1,11:42.9,219920,21992,0.1,23:07.5,251960,0,0,0,242960,0,0,0,219920,0,0,0
2,,D19,257680,25768,0.1,00:18.0,241840,24184,0.1,11:43.1,218080,21808,0.1,23:07.7,257680,0,0,0,241840,0,0,0,218080,0,0,0
2,,D20,247880,24788,0.1,00:18.2,239080,23908,0.1,11:43.3,218160,21816,0.1,23:07.9,247880,0,0,0,239080,0,0,0,218160,0,0,0
2,,D21,254560,25456,0.1,00:18.4,242880,24288,0.1,11:43.5,220480,22048,0.1,23:08.1,254560,0,0,0,242880,0,0,0,220480,0,0,0
2,,D22,242640,24264,0.1,00:18.6,233680,23368,0.1,11:43.7,212800,21280,0.1,23:08.3,242640,0,0,0,233680,0,0,0,212800,0,0,0
2,,D23,520,52,0.1,00:18.8,480,48,0.1,11:43.9,400,40,0.1,23:08.5,520,0,0,0,480,0,0,0,400,0,0,0
2,,D24,233960,23396,0.1,00:19.0,225280,22528,0.1,11:44.0,214400,21440,0.1,23:08.7,233960,0,0,0,225280,0,0,0,214400,0,0,0
2,,E01,251400,25140,0.1,00:19.5,244920,24492,0.1,11:44.5,224440,22444,0.1,23:09.1,251400,0,0,0,244920,0,0,0,224440,0,0,0
2,,E02,600,60,0.1,00:19.6,360,36,0.1,11:44.7,480,48,0.1,23:09.3,600,0,0,0,360,0,0,0,480,0,0,0
2,,E03,257760,25776,0.1,00:19.8,242840,24284,0.1,11:44.9,222560,22256,0.1,23:09.5,257760,0,0,0,242840,0,0,0,222560,0,0,0
2,,E04,256760,25676,0.1,00:20.0,244960,24496,0.1,11:45.1,221400,22140,0.1,23:09.7,256760,0,0,0,244960,0,0,0,221400,0,0,0
2,,E05,257480,25748,0.1,00:20.2,248720,24872,0.1,11:45.3,224880,22488,0.1,23:09.9,257480,0,0,0,248720,0,0,0,224880,0,0,0
2,,E06,260560,26056,0.1,00:20.4,249480,24948,0.1,11:45.5,223640,22364,0.1,23:10.1,260560,0,0,0,249480,0,0,0,223640,0,0,0
2,,E07,259640,25964,0.1,00:20.6,244520,24452,0.1,11:45.6,228920,22892,0.1,23:10.3,259640,0,0,0,244520,0,0,0,228920,0,0,0
2,,E08,260720,26072,0.1,00:20.8,251400,25140,0.1,11:45.8,225320,22532,0.1,23:10.5,260720,0,0,0,251400,0,0,0,225320,0,0,0
2,,E09,262200,26220,0.1,00:21.0,247480,24748,0.1,11:46.0,229000,22900,0.1,23:10.7,262200,0,0,0,247480,0,0,0,229000,0,0,0
2,,E10,261320,26132,0.1,00:21.2,255320,25532,0.1,11:46.2,226680,22668,0.1,23:10.8,261320,0,0,0,255320,0,0,0,226680,0,0,0
2,,E11,260520,26052,0.1,00:21.4,254160,25416,0.1,11:46.4,228960,22896,0.1,23:11.0,260520,0,0,0,254160,0,0,0,228960,0,0,0
2,,E12,257800,25780,0.1,00:21.6,251920,25192,0.1,11:46.6,231040,23104,0.1,23:11.2,257800,0,0,0,251920,0,0,0,231040,0,0,0
2,,E13,259280,25928,0.1,00:21.8,250760,25076,0.1,11:46.8,228000,22800,0.1,23:11.4,259280,0,0,0,250760,0,0,0,228000,0,0,0
2,,E14,267560,26756,0.1,00:22.0,253880,25388,0.1,11:47.0,234160,23416,0.1,23:11.6,267560,0,0,0,253880,0,0,0,234160,0,0,0
2,,E15,262680,26268,0.1,00:22.1,249920,24992,0.1,11:47.2,227640,22764,0.1,23:11.8,262680,0,0,0,249920,0,0,0,227640,0,0,0
