Condition,Time,Slope,Y-intercept,X-intercept,1/slope,R squared,Sy.x,LOD
Intact (FuGENE_DPBS),25.0,40.33719792494931,23227.81546301907,-575.8410761758004,0.024791013046086708,0.8710298817854556,41865.61053192051,3425.039959701447
Intact (FuGENE_DPBS),27.5,39.23414570296513,21700.33694130661,-553.0982401298113,0.025488002404100384,0.8680047000507345,41267.302060285394,3471.0096106068595
Intact (FuGENE_DPBS),30.0,37.757890873648236,22657.474702770865,-600.0725723423243,0.026484530170034316,0.8511810217103922,42584.308692976694,3721.8238475523463
Intact (PEI_DPBS),0.0,8.927167519461852,4371.957671876542,-489.7362643128817,0.112017613405364,0.9647137053498909,4605.122310621022,1702.3208752293551
Intact (PEI_DPBS),2.5,7.672095237878787,3617.7193682236903,-471.54255207394067,0.1303424904141941,0.9662613561427293,3866.8219197038297,1663.2369567078936
Intact (PEI_DPBS),5.0,6.886845540185204,2816.6470262110324,-408.9894291625547,0.14520436013337792,0.9739749422327348,3036.4489422583274,1454.9885649363655
Intact (PEI_DPBS),7.5,6.132598366167562,2455.1239724892675,-400.3399254113466,0.16306301836376885,0.9732502426686286,2742.3057037039102,1475.6565295630578
Intact (PEI_DPBS),10.0,5.522571475011201,2161.810610092627,-391.4500011225735,0.18107506702717174,0.9768087219189816,2295.2109319361434,1371.4980620280537
Intact (PEI_DPBS),12.5,5.172645605591993,1803.6557690593236,-348.69115469837044,0.1933246690859567,0.9784826650770394,2068.9694474512344,1319.943351465633
Intact (PEI_DPBS),15.0,4.801022810597869,1718.8541577071865,-358.0183276598801,0.20828894996969832,0.9757007949031703,2043.596519653839,1404.6732916934127
Intact (PEI_DPBS),17.5,4.647218891822679,1265.6920707323297,-272.35473520721433,0.21518246144153355,0.9831032286440186,1643.3085410121105,1166.9168833175079
Intact (PEI_DPBS),20.0,4.514297125126109,981.2447654002772,-217.36379733154266,0.22151842740569821,0.9843754620086523,1534.0412009542458,1121.4007015560796
Intact (PEI_DPBS),22.5,4.418804392740534,690.1295549627102,-156.18015499769456,0.22630555940490543,0.982891764980418,1572.4549562957554,1174.322485127639
Intact (PEI_DPBS),25.0,4.2591835559341495,702.447038858043,-164.92527960654613,0.23478678175462528,0.9828387527542323,1518.0403877753256,1176.17219682373
Intact (PEI_DPBS),27.5,4.1479872024154885,501.214835007635,-120.83326455678639,0.24108078236540173,0.983870906634699,1432.5078401033431,1139.6553657610632
Intact (PEI_DPBS),30.0,3.950149452038622,558.1918468877448,-141.30904505389512,0.25315497860059766,0.9796803233143703,1534.452370058514,1281.899047789138
